nome;instrucao;regra_secreta
O Banquete do Rei 👑;Cada um diz o que levaria ao banquete do rei. O anfitrião responde "Pode" ou "Não pode".;REGRA SECRETA: o item só é aceito se começar com a ÚLTIMA letra do nome do jogador da vez. (Ex.: "Ana" termina em A → pode levar "Arroz".)
Viagem no Tempo ⏳;Cada um diz o que levaria numa viagem no tempo. O anfitrião responde "Pode" ou "Não pode".;REGRA SECRETA: só pode levar coisas que NÃO existiam em 1900 (tecnologia moderna). Dica: a palavra "tempo" induz todos a pensar em relógios — deixe.
O Clube dos Gestos 🤙;Cada um tenta entrar no clube falando uma frase. O anfitrião diz se entrou ou não. A palavra não importa.;REGRA SECRETA: o jogador só entra se fizer um GESTO físico enquanto fala (coçar a cabeça, cruzar os braços, tocar o rosto). Quem fala parado é rejeitado.
O Piquenique das Cores 🎨;Cada um diz o que levaria ao piquenique. O anfitrião responde "Pode" ou "Não pode".;REGRA SECRETA: o objeto só é aceito se a cor dele combinar com a cor da ROUPA que o jogador da vez está vestindo.
Fronteira sem "E" 🛂;Cada um diz o que levaria para passar a fronteira. O anfitrião responde "Pode" ou "Não pode".;REGRA SECRETA: só passa a palavra que NÃO contém a letra "E". (Ex.: "carro" pode, "caminhonete" não.)
A Mala Mágica 🧳;Cada um diz o que colocaria na mala. O anfitrião responde "Cabe" ou "Não cabe".;REGRA SECRETA: o objeto só cabe se o nome dele tiver um número PAR de letras. (Ex.: "mala" (4) cabe, "livro" (5) não.)
A Loja do Sim 🛒;Cada um diz um produto que quer comprar. O anfitrião responde "Vendido" ou "Esgotado".;REGRA SECRETA: só é "Vendido" se o produto NÃO for comida. Qualquer coisa comestível está sempre esgotada.
O Porteiro da Festa 🚪;Cada um diz uma palavra-senha pra entrar na festa. O anfitrião deixa entrar ou barra.;REGRA SECRETA: só entra quem disser uma palavra que comece com a MESMA letra com que terminou a palavra do jogador anterior. O primeiro da rodada sempre entra.
O Chef Exigente 👨‍🍳;Cada um sugere um ingrediente pro prato. O anfitrião aceita ("Na panela") ou rejeita ("Fora").;REGRA SECRETA: o ingrediente só entra se tiver a letra "A" no nome. Sem "A", está fora.
O Bar do Barman Educado 🍸;Cada um pede uma bebida no bar. O anfitrião serve ou nega.;REGRA SECRETA: o barman só serve se o pedido vier com um "por favor". A bebida não importa — a educação é a senha.
O Bar do Humor Instável 🍸;Cada um pede uma bebida no bar. O anfitrião decide se serve ou não.;REGRA SECRETA: o barman só serve se a pessoa estiver sorrindo na hora do pedido. Cara fechada = bebida negada.
O Bar da Verdade Disfarçada 🍸;Cada um pede uma bebida no bar. O anfitrião observa e decide se serve.;REGRA SECRETA: o barman só serve se acreditar que o pedido foi feito sem mentira (mesmo que seja impossível provar).
O Bar do Silêncio 🍸;Cada um pede uma bebida no bar. O anfitrião serve ou nega.;REGRA SECRETA: o barman só serve se o pedido for feito em no máximo 5 palavras. Excesso de explicação = negado.
O Bar do Contato Visual 🍸;Cada um pede uma bebida no bar. O anfitrião decide se serve.;REGRA SECRETA: o barman só serve se a pessoa mantiver contato visual durante todo o pedido.
O Bar do Personagem 🍸;Cada um pede uma bebida no bar. O anfitrião serve ou nega.;REGRA SECRETA: o barman só serve se a pessoa fizer o pedido como se fosse um personagem (filme, série ou famoso).
O Bar da Confiança 🍸;Cada um pede uma bebida no bar. O anfitrião decide se serve.;REGRA SECRETA: o barman só serve se a pessoa fizer o pedido sem rir ou hesitar em nenhum momento.
O Bar do Frio Emocional 🍸;Cada um pede uma bebida no bar. O anfitrião serve ou nega.;REGRA SECRETA: o barman só serve se a pessoa parecer completamente indiferente ao pedido — emoção demais invalida.
O Bar do Destino Aleatório 🍸;Cada um pede uma bebida no bar. O anfitrião serve ou nega.;REGRA SECRETA: o barman só serve se o pedido começar com a mesma letra do nome da pessoa.
O Tribunal das Palavras ⚖️;Cada um diz uma palavra para defesa no tribunal. O juiz decide se aceita ou rejeita.;REGRA SECRETA: a palavra só é aceita se tiver exatamente 2 sílabas. Mais ou menos = rejeitada.
A Agência Secreta 🕶️;Cada um diz um codinome de agente. O diretor decide se aprova ou não.;REGRA SECRETA: o codinome só é aprovado se for uma palavra que existe na vida real (sem invenções).
O Elevador Social 🏢;Cada um diz o andar que quer ir. O elevador decide se sobe ou não.;REGRA SECRETA: só sobe se o número do andar for PAR.
O Museu Proibido 🏛️;Cada um sugere um item para exposição. O curador aceita ou recusa.;REGRA SECRETA: só é aceito se o objeto NÃO for algo eletrônico.
O Feitiço do Mago 🧙;Cada um fala um feitiço. O mago decide se funciona ou não.;REGRA SECRETA: o feitiço só funciona se terminar com uma vogal.
A Ilha do Naufrágio 🏝️;Cada um diz o que levaria para sobreviver na ilha. O capitão aprova ou não.;REGRA SECRETA: só é aprovado se o objeto for algo de sobrevivência real (comida, água, ferramenta simples).
O Detector de Mentiras 🤖;Cada um faz uma afirmação sobre si mesmo. O sistema aprova ou acusa.;REGRA SECRETA: só é considerado verdadeiro se a frase tiver exatamente 7 palavras.
O Código do Cofre 🔐;Cada um tenta adivinhar o código. O sistema diz se abre ou não.;REGRA SECRETA: o código só abre se for um número múltiplo de 3.
O Bar da Memória 🧠;Cada um conta uma lembrança inventada. O bartender decide se acredita ou não.;REGRA SECRETA: só acredita se a história começar com "Ontem" ou "Hoje".
