pergunta_maioria;pergunta_impostor
Melhor viagem da sua vida?;Lugar que você ainda quer conhecer?
Última coisa que você comeu hoje?;Sua comida favorita?
App que você mais usa?;App que você mais odeia?
Melhor presente que já ganhou?;Pior presente que já ganhou?
O que você faria com 1 milhão?;O que você faria com 100 reais?
Algo que você sabe fazer bem?;Algo que você queria saber fazer?
Filme que assistiria de novo?;Filme superestimado pra você?
Seu maior medo?;Uma fobia comum nas pessoas?
Melhor matéria da escola?;Pior matéria da escola?
Onde você queria estar agora?;Onde você definitivamente não queria estar?
Música que você nunca cansa?;Música que te dá nos nervos?
Um superpoder que você queria?;Um superpoder inútil?
Coisa que te deixa feliz fácil?;Coisa que te irrita fácil?
Animal que você teria de estimação?;Animal que te dá medo?
Melhor lembrança da infância?;Coisa que você odiava quando criança?
Comida que você comeria todo dia?;Comida que você nunca mais quer ver?
Lugar perfeito pra morar?;Lugar que você nunca moraria?
Uma habilidade sua subestimada?;Algo que todo mundo faz menos você?
Pessoa que você admira?;Pessoa que você não suportaria conviver?
Coisa que você faria hoje sem pensar?;Coisa que você nunca faria?
Melhor dia da sua vida?;Um dia que você apagaria?
Algo que te motiva?;Algo que te desanima?
Uma qualidade sua?;Um defeito seu?
Algo que você compraria agora?;Algo que você acha desperdício de dinheiro?
Seu hobby favorito?;Algo que você acha chato fazer?
Coisa que você ama no seu trabalho/estudo?;Coisa que você odeia nisso?
Melhor época do ano?;Pior época do ano?
Algo que te faz rir fácil?;Algo que te deixa sem graça?
Um lugar que você voltaria mil vezes?;Um lugar que você não pisaria de novo?
Algo que você faria escondido?;Algo que você faria em público sem problema?
Melhor conselho que já recebeu?;Pior conselho que já recebeu?
Algo que você tem orgulho?;Algo que você se arrepende?
Algo que você faria se ninguém julgasse?;Algo que você evita por medo do julgamento?
Uma meta de vida?;Algo que você não liga de conquistar?
Algo que você faria por dinheiro?;Algo que você não faria nem por dinheiro?
Pessoa que você chamaria pra viajar?;Pessoa que você não levaria nem de graça?
Coisa que você gosta sozinho?;Coisa que você prefere fazer com alguém?
Algo que você faria todo fim de semana?;Algo que você evita no fim de semana?
Algo que você ama gastar dinheiro?;Algo que você odeia gastar dinheiro?
Algo que você mudaria em você?;Algo que você nunca mudaria?
Algo que você já mentiu?;Algo que você sempre fala a verdade?
Algo que você perdoaria?;Algo imperdoável pra você?
Algo que você acha bonito?;Algo que você acha feio?
Algo que você tem facilidade?;Algo que você tem muita dificuldade?
Algo que você faria de novo?;Algo que você nunca repetiria?
Algo que te acalma?;Algo que te estressa?
Algo que você gosta de assistir?;Algo que você nunca assistiria?
Algo que você ama aprender?;Algo que você evita aprender?
